"Nom étudiant","Prénom étudiant","Mail Universitaire étudiant","Date Début Stage","Date Fin Stage","Formation","Prénom Enseignant référent","Nom Etablissement d'accueil","Etablissement d'Accueil - Commune","Code Postal"
"Nom44","Prenom44","mail44@ens.univ-artois.fr",31/03/25,29/08/25,"M1","Karim","KYLII KIDS","LILLE",59800
"Nom45","Prenom45","mail45@ens.univ-artois.fr",01/04/25,04/06/25,"M1","Karim","WORLDLINE FRANCE SAS","SECLIN",59113
"Nom46","Prenom46","mail46@ens.univ-artois.fr",01/04/25,29/08/25,"M1","Karim","MECACORP","LENS",62300
"Nom47","Prenom47","mail47@ens.univ-artois.fr",31/03/25,23/05/25,"M1","Karim","THE LABCOM","TOURC ",59200
"Nom48","Prenom48","mail48@ens.univ-artois.fr",31/03/25,06/06/25,"M1","Karim","LES FABRICANTS","  VILLENEUVE-D'ASCQ",59491
"Nom49","Prenom49","mail49@ens.univ-artois.fr",31/03/25,25/07/25,"M1","Karim","FACULTE DES SCIENCES APPLIQUEES","BETHUNE",62400
"Nom50","Prenom50","mail50@ens.univ-artois.fr",30/03/25,27/06/25,"M1","Karim","GIE EURODEM","CHAURAY",79180
"Nom51","Prenom51","mail51@ens.univ-artois.fr",31/03/25,06/06/25,"M1","Karim","COLLECTIVITE TERRITORIALE","SIN LE NOBLE",59450
"Nom52","Prenom52","mail52@ens.univ-artois.fr",31/03/25,12/09/25,"M2 ILJ","Jean-Marie","AUDACE","DOUVRIN",62138
"Nom53","Prenom53","mail53@ens.univ-artois.fr",01/04/25,30/09/25,"M2 ILJ","Jean-Marie","IBANFIRST","IXELLES BRUXELLES BELGIQUE",350
"Nom54","Prenom54","mail54@ens.univ-artois.fr",07/04/25,26/09/25,"M2 ILJ","Jean-Marie","SEE TICKETS","MARSEILLE",13002
"Nom55","Prenom55","mail55@ens.univ-artois.fr",14/04/25,05/07/25,"M2 ILJ","Jean-Marie","SCOLIA TECHNOLOGIES LTD.","SZEGED",6720
"Nom56","Prenom56","mail56@ens.univ-artois.fr",25/04/25,25/07/25,"M2 ILJ","Jean-Marie","FACULTE DES SCIENCES DE LENS ","LENS",62307
"Nom57","Prenom57","mail57@ens.univ-artois.fr",16/06/25,30/09/25,"M2 ILJ","Jean-Marie","SQUEEGEE","SAINT ANDRE LEZ LILLE",59350
"Nom58","Prenom58","mail58@ens.univ-artois.fr",30/06/25,05/09/25,"M2 ILJ","Jean-Marie","NEURONALYS","VERTON",62180
"Nom59","Prenom59","mail59@ens.univ-artois.fr",30/06/25,22/09/25,"M2 ILJ","Jean-Marie","UCCS - FACULTE DES SCIENCES JEAN PERRIN","LENS",62300
"Nom60","Prenom60","mail60@ens.univ-artois.fr",30/06/25,22/08/25,"M2 ILJ","Jean-Marie","EVOLUX AGENCY","SETE",34200
"Nom61","Prenom61","mail61@ens.univ-artois.fr",01/04/25,30/09/25,"M2 ILI","Daniel","SII","VILLENEUVE D'ASCQ",59650
"Nom62","Prenom62","mail62@ens.univ-artois.fr",31/03/25,31/08/25,"M2 ILI","Daniel","NEXTOO","ROUBAIX",59100
"Nom63","Prenom63","mail63@ens.univ-artois.fr",07/04/25,30/09/25,"M2 ILI","Daniel","BASSETTI TALENT POOL","GRENOBLE",38000
"Nom64","Prenom64","mail64@ens.univ-artois.fr",28/04/25,31/07/25,"M2 ILI","Daniel","BORESA","VITRY EN ARTOIS",62490
"Nom65","Prenom65","mail65@ens.univ-artois.fr",09/07/25,30/09/25,"M2 ILI","Daniel","FACULTE DES SCIENCES DE LENS ","LENS",62307
